DATA_YEAR,AGENCY_ID,INCIDENT_ID,NIBRS_MONTH_ID,CARGO_THEFT_FLAG,SUBMISSION_DATE,INCIDENT_DATE,REPORT_DATE_FLAG,INCIDENT_HOUR,CLEARED_EXCEPT_ID,CLEARED_EXCEPT_DATE,INCIDENT_STATUS,DATA_HOME,ORIG_FORMAT,DID
2020,5659,130111427,8523652,,26-OCT-20,30-JUL-20,,11,6,,0,C,F,85581269
2020,5659,130111443,8523652,,26-OCT-20,31-JUL-20,,10,6,,0,C,F,85584469
2020,5659,130111446,8523652,,26-OCT-20,31-JUL-20,,20,6,,0,C,F,85584477
2020,5659,130111462,8523652,,26-OCT-20,15-JUL-20,,0,6,,0,C,F,85584490
2020,5659,130111467,8523652,,26-OCT-20,31-JUL-20,,3,6,,0,C,F,85584500
2020,5659,130106892,8554545,,26-OCT-20,11-MAY-20,,0,6,,0,C,F,85584521
2020,5659,130107189,8520426,,26-OCT-20,16-AUG-20,,12,6,,0,C,F,85584954
2020,5659,130111811,8520426,,26-OCT-20,18-AUG-20,,3,6,,0,C,F,85586740
2020,5659,130111544,8520426,,26-OCT-20,02-AUG-20,,2,6,,0,C,F,85581437
2020,5659,130111524,8520426,,26-OCT-20,01-AUG-20,,1,6,,0,C,F,85584639
2020,5659,130111550,8520426,,26-OCT-20,01-AUG-20,,23,6,,0,C,F,85581439
2020,5659,130106993,8520426,,26-OCT-20,02-AUG-20,,17,6,,0,C,F,85584702
2020,5659,130106999,8520426,,26-OCT-20,04-AUG-20,,12,6,,0,C,F,85581479
2020,5659,130111512,8530674,,26-OCT-20,07-JUN-20,,11,6,,0,C,F,85584622
2020,5659,130111559,8520426,,26-OCT-20,02-AUG-20,,12,6,,0,C,F,85584669
2020,5659,130106947,8520426,,26-OCT-20,01-AUG-20,,13,6,,0,C,F,85581423
2020,5659,130106962,8520426,,26-OCT-20,02-AUG-20,,10,6,,0,C,F,85584664
2020,5659,130111565,8520426,,26-OCT-20,02-AUG-20,,15,6,,0,C,F,85584677
2020,5659,130106989,8520426,,26-OCT-20,03-AUG-20,,23,6,,0,C,F,85584700
2020,5659,130106996,8520426,,26-OCT-20,04-AUG-20,,13,6,,0,C,F,85584711
2020,5659,130111597,8520426,,26-OCT-20,04-AUG-20,,0,6,,0,C,F,85584715
2020,5659,130111620,8520426,,26-OCT-20,06-AUG-20,,0,6,,0,C,F,85584740
2020,5659,130111511,8530674,,26-OCT-20,04-JUN-20,,16,6,,0,C,F,85581391
